"s"	"Fx"	"Fy"	"Fz"
0.38700	0.11246	-0.06470	-0.15793
0.38800	0.11353	-0.06531	-0.15717
0.38900	0.11414	-0.06668	-0.15778
0.39000	0.11276	-0.06577	-0.15747
0.39100	0.11292	-0.06744	-0.15701
0.39200	0.11230	-0.06592	-0.15701
0.39300	0.11276	-0.06561	-0.15869
0.39400	0.11292	-0.06561	-0.15610
0.39500	0.11337	-0.06561	-0.15823
0.39600	0.11246	-0.06485	-0.15747
0.39700	0.11292	-0.06683	-0.15762
0.39800	0.11261	-0.06516	-0.15717
0.39900	0.11292	-0.06653	-0.15854
0.40000	0.11292	-0.06638	-0.15869
0.40100	0.11307	-0.06683	-0.15808
0.40200	0.11292	-0.06592	-0.15808
0.40300	0.11337	-0.06699	-0.15717
0.40400	0.11276	-0.06744	-0.15839
0.40500	0.11383	-0.06500	-0.15808
0.40600	0.11307	-0.06531	-0.15839
0.40700	0.11398	-0.06622	-0.15915
0.40800	0.11353	-0.06729	-0.15610
0.40900	0.11307	-0.06622	-0.15808
0.41000	0.11307	-0.06607	-0.15839
0.41100	0.11246	-0.06546	-0.15884
0.41200	0.11185	-0.06592	-0.15701
0.41300	0.11230	-0.06577	-0.15778
0.41400	0.11307	-0.06592	-0.15732
0.41500	0.11322	-0.06683	-0.15869
0.41600	0.11261	-0.06668	-0.15793
0.41700	0.11307	-0.06470	-0.15900
0.41800	0.11307	-0.06638	-0.15823
0.41900	0.11276	-0.06668	-0.15839
0.42000	0.11215	-0.06577	-0.15732
0.42100	0.11383	-0.06592	-0.15762
0.42200	0.11292	-0.06607	-0.15793
0.42300	0.11383	-0.06607	-0.15747
0.42400	0.11368	-0.06500	-0.15732
0.42500	0.11292	-0.06638	-0.15701
0.42600	0.11398	-0.06561	-0.15823
0.42700	0.11292	-0.06714	-0.15823
0.42800	0.11276	-0.06653	-0.15778
0.42900	0.11337	-0.06592	-0.15793
0.43000	0.11337	-0.06577	-0.15778
0.43100	0.11292	-0.06516	-0.15839
0.43200	0.11368	-0.06561	-0.15732
0.43300	0.11322	-0.06683	-0.15808
0.43400	0.11322	-0.06653	-0.15839
0.43500	0.11353	-0.06622	-0.15839
0.43600	0.11337	-0.06638	-0.15732
0.43700	0.11200	-0.06744	-0.15747
0.43800	0.11261	-0.06699	-0.15671
0.43900	0.11353	-0.06592	-0.15762
0.44000	0.11353	-0.06439	-0.15808
0.44100	0.11230	-0.06638	-0.15945
0.44200	0.11398	-0.06683	-0.15701
0.44300	0.11185	-0.06653	-0.15747
0.44400	0.11261	-0.06653	-0.15823
0.44500	0.11383	-0.06699	-0.15686
0.44600	0.11307	-0.06485	-0.15823
0.44700	0.11292	-0.06561	-0.15778
0.44800	0.11322	-0.06592	-0.15778
0.44900	0.11429	-0.06561	-0.15762
0.45000	0.11337	-0.06638	-0.15808
0.45100	0.11276	-0.06531	-0.15656
0.45200	0.11246	-0.06653	-0.15671
0.45300	0.11230	-0.06592	-0.15656
0.45400	0.11353	-0.06683	-0.15839
0.45500	0.11368	-0.06638	-0.15793
0.45600	0.11307	-0.06668	-0.15686
0.45700	0.11261	-0.06821	-0.15854
0.45800	0.11292	-0.06546	-0.15808
0.45900	0.11292	-0.06470	-0.15686
0.46000	0.11459	-0.06683	-0.15808
0.46100	0.11444	-0.06699	-0.15747
0.46200	0.11322	-0.06622	-0.15762
0.46300	0.11353	-0.06683	-0.15747
0.46400	0.11276	-0.06516	-0.15686
0.46500	0.11292	-0.06592	-0.15884
0.46600	0.11230	-0.06561	-0.15717
0.46700	0.11292	-0.06622	-0.15854
0.46800	0.11246	-0.06577	-0.15823
0.46900	0.11292	-0.06699	-0.15701
0.47000	0.11307	-0.06683	-0.15854
0.47100	0.11307	-0.06531	-0.15869
0.47200	0.11322	-0.06607	-0.15717
0.47300	0.11322	-0.06699	-0.15762
0.47400	0.11261	-0.06729	-0.15808
0.47500	0.11276	-0.06577	-0.15900
0.47600	0.11307	-0.06592	-0.15732
0.47700	0.11368	-0.06577	-0.15793
0.47800	0.11276	-0.06531	-0.15839
0.47900	0.11276	-0.06454	-0.15793
0.48000	0.11276	-0.06546	-0.15717
0.48100	0.11292	-0.06653	-0.15701
0.48200	0.11322	-0.06592	-0.15839
0.48300	0.11337	-0.06607	-0.15793
0.48400	0.11322	-0.06592	-0.15823
0.48500	0.11276	-0.06470	-0.15839
0.48600	0.11398	-0.06607	-0.15701
0.48700	0.11368	-0.06622	-0.15717
0.48800	0.11353	-0.06699	-0.15732
0.48900	0.11307	-0.06653	-0.15747
0.49000	0.11322	-0.06500	-0.15701
0.49100	0.11322	-0.06714	-0.15732
0.49200	0.11307	-0.06485	-0.15686
0.49300	0.11200	-0.06561	-0.15854
0.49400	0.11322	-0.06607	-0.15671
0.49500	0.11276	-0.06683	-0.15625
0.49600	0.11200	-0.06729	-0.15701
0.49700	0.11429	-0.06607	-0.15610
0.49800	0.11276	-0.06546	-0.15701
0.49900	0.11322	-0.06546	-0.15594
0.50000	0.11337	-0.06592	-0.15701
0.50100	0.11246	-0.06653	-0.15884
0.50200	0.11398	-0.06546	-0.15808
0.50300	0.11307	-0.06683	-0.15701
0.50400	0.11276	-0.06531	-0.15762
0.50500	0.11337	-0.06546	-0.15732
0.50600	0.11292	-0.06622	-0.15701
0.50700	0.11307	-0.06607	-0.15778
0.50800	0.11414	-0.06516	-0.15747
0.50900	0.11398	-0.06561	-0.15778
0.51000	0.11444	-0.06561	-0.15839
0.51100	0.11276	-0.06500	-0.15762
0.51200	0.11368	-0.06592	-0.15823
0.51300	0.11353	-0.06607	-0.15823
0.51400	0.11230	-0.06622	-0.15808
0.51500	0.11276	-0.06622	-0.15564
0.51600	0.11276	-0.06699	-0.15884
0.51700	0.11459	-0.06638	-0.15793
0.51800	0.11261	-0.06516	-0.15884
0.51900	0.11353	-0.06683	-0.15808
0.52000	0.11322	-0.06683	-0.15717
0.52100	0.11246	-0.06592	-0.15793
0.52200	0.11368	-0.06546	-0.15701
0.52300	0.11276	-0.06516	-0.15747
0.52400	0.11246	-0.06592	-0.15686
0.52500	0.11322	-0.06638	-0.15686
0.52600	0.11398	-0.06531	-0.15869
0.52700	0.11261	-0.06592	-0.15945
0.52800	0.11368	-0.06577	-0.15717
0.52900	0.11337	-0.06577	-0.15686
0.53000	0.11322	-0.06363	-0.15884
0.53100	0.11398	-0.06561	-0.15854
0.53200	0.11505	-0.06668	-0.15762
0.53300	0.11200	-0.06577	-0.15823
0.53400	0.11414	-0.06668	-0.15686
0.53500	0.11322	-0.06622	-0.15793
0.53600	0.11307	-0.06622	-0.15839
0.53700	0.11353	-0.06607	-0.15701
0.53800	0.11292	-0.06668	-0.15823
0.53900	0.11429	-0.06683	-0.15686
0.54000	0.11292	-0.06577	-0.15747
0.54100	0.11307	-0.06577	-0.15854
0.54200	0.11261	-0.06653	-0.15747
0.54300	0.11246	-0.06531	-0.15869
0.54400	0.11276	-0.06653	-0.15823
0.54500	0.11307	-0.06592	-0.15839
0.54600	0.11215	-0.06622	-0.15717
0.54700	0.11307	-0.06577	-0.15778
0.54800	0.11429	-0.06561	-0.15839
0.54900	0.11276	-0.06500	-0.15854
0.55000	0.11337	-0.06653	-0.15915
0.55100	0.11429	-0.06607	-0.15823
0.55200	0.11337	-0.06592	-0.15778
0.55300	0.11337	-0.06729	-0.15778
0.55400	0.11200	-0.06500	-0.15854
0.55500	0.11414	-0.06592	-0.15808
0.55600	0.11368	-0.06516	-0.15762
0.55700	0.11398	-0.06531	-0.15778
0.55800	0.11261	-0.06531	-0.15717
0.55900	0.11169	-0.06531	-0.15747
0.56000	0.11276	-0.06638	-0.15717
0.56100	0.11292	-0.06638	-0.15869
0.56200	0.11307	-0.06638	-0.15762
0.56300	0.11246	-0.06516	-0.15686
0.56400	0.11276	-0.06638	-0.15686
0.56500	0.11276	-0.06592	-0.15915
0.56600	0.11353	-0.06500	-0.15671
0.56700	0.11322	-0.06592	-0.15808
0.56800	0.11383	-0.06485	-0.15778
0.56900	0.11322	-0.06622	-0.15869
0.57000	0.11246	-0.06653	-0.15762
0.57100	0.11246	-0.06577	-0.15778
0.57200	0.11292	-0.06683	-0.15656
0.57300	0.11368	-0.06622	-0.15747
0.57400	0.11276	-0.06516	-0.15549
0.57500	0.11292	-0.06500	-0.15762
0.57600	0.11398	-0.06531	-0.15747
0.57700	0.11261	-0.06516	-0.15900
0.57800	0.11215	-0.06653	-0.15778
0.57900	0.11230	-0.06592	-0.15701
0.58000	0.11276	-0.06638	-0.15839
0.58100	0.11337	-0.06683	-0.15884
0.58200	0.11185	-0.06653	-0.15671
0.58300	0.11505	-0.06577	-0.15732
0.58400	0.11276	-0.06638	-0.15732
0.58500	0.11398	-0.06531	-0.15869
0.58600	0.11230	-0.06683	-0.15808
0.58700	0.11307	-0.06668	-0.15808
0.58800	0.11398	-0.06729	-0.15839
0.58900	0.11398	-0.06485	-0.15839
0.59000	0.11246	-0.06592	-0.15854
0.59100	0.11169	-0.06699	-0.15762
0.59200	0.11383	-0.06577	-0.15747
0.59300	0.11276	-0.06531	-0.15915
0.59400	0.11322	-0.06699	-0.15762
0.59500	0.11475	-0.06607	-0.15991
0.59600	0.11322	-0.06622	-0.15869
0.59700	0.11276	-0.06546	-0.15900
0.59800	0.11353	-0.06607	-0.15808
0.59900	0.11444	-0.06729	-0.15732
0.60000	0.11292	-0.06653	-0.15854
0.60100	0.11215	-0.06638	-0.15671
0.60200	0.11261	-0.06500	-0.15747
0.60300	0.11368	-0.06638	-0.15762
0.60400	0.11322	-0.06683	-0.15808
0.60500	0.11246	-0.06683	-0.15930
0.60600	0.11246	-0.06729	-0.15701
0.60700	0.11261	-0.06607	-0.15823
0.60800	0.11169	-0.06683	-0.15854
0.60900	0.11292	-0.06577	-0.15717
0.61000	0.11292	-0.06409	-0.15839
0.61100	0.11353	-0.06714	-0.15793
0.61200	0.11383	-0.06577	-0.15701
0.61300	0.11246	-0.06531	-0.15625
0.61400	0.11307	-0.06577	-0.15839
0.61500	0.11261	-0.06668	-0.15701
0.61600	0.11368	-0.06561	-0.15839
0.61700	0.11246	-0.06592	-0.15656
0.61800	0.11261	-0.06592	-0.15808
0.61900	0.11307	-0.06516	-0.15640
0.62000	0.11429	-0.06653	-0.15778
0.62100	0.11322	-0.06500	-0.15717
0.62200	0.11383	-0.06485	-0.15762
0.62300	0.11337	-0.06500	-0.15747
0.62400	0.11139	-0.06561	-0.15778
0.62500	0.11322	-0.06485	-0.15778
0.62600	0.11398	-0.06607	-0.15945
0.62700	0.11322	-0.06714	-0.15854
0.62800	0.11307	-0.06653	-0.15732
0.62900	0.11429	-0.06622	-0.15762
0.63000	0.11322	-0.06561	-0.15717
0.63100	0.11383	-0.06622	-0.15823
